track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13 00:00:00+00:00,2015.0,1uNFoZAHBGtllmzznpCI3s,200786,19,85,
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,2010-05-11 00:00:00+00:00,2010.0,0du5cEVh5yTK9QJze8zA0C,220734,10,85,
1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5; Wiz Khalifa,6ijGiBcBfUwkoyHn5VUHU2,Overexposed Track By Track,2012-01-01 00:00:00+00:00,2012.0,04gDigrS5kc9YWfZHwBETP; 137W8MRPWKqSmrBGDBFSop,231173,33,85,pop; rap
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,4OTAx9un4e6NfoHuVRiOrC,Love In The Future (Expanded Edition),2013-08-30 00:00:00+00:00,2013.0,5y2Xq6xcjJb2jVM54GHK3t,269560,20,85,neo soul; soft pop
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13 00:00:00+00:00,2015.0,1uNFoZAHBGtllmzznpCI3s,233720,19,85,
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29 00:00:00+00:00,2018.0,3TVXtAsR1Inumwj472S9r4,198973,25,84,rap
6RtPijgfPKROxEzTHNRiDp,Rude,Magic!,0RZ4Ct4vegYBmL9g88TBNi,Don't Kill the Magic,2014-06-25 00:00:00+00:00,2014.0,0DxeaLnv6SyYk2DOqkLO8c,224840,11,84,
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson; Bruno Mars,3vLaOYCNCzngDf8QdBg2V1,Uptown Special,2015-01-12 00:00:00+00:00,2015.0,3hv9jJF3adDNsBSIQDqcjp; 0du5cEVh5yTK9QJze8zA0C,269666,11,84,
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19 00:00:00+00:00,2021.0,1uNFoZAHBGtllmzznpCI3s,153190,16,84,
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics; Annie Lennox; Dave Stewart,5jNDWA19BJbE24x1UUJGRY,Sweet Dreams (Are Made Of This),1983-01-04 00:00:00+00:00,1983.0,0NKDgy9j66h3DLnN8qu1bB; 5MspMQqdVbdwP6ax3GXqum; 7gcCQIlkkfbul5Mt0jBQkg,216933,16,84,new wave; synthpop
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),2014-01-01 00:00:00+00:00,2014.0,06HL4z0CvFAxyc27GXpf02,231826,19,84,
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),2014-06-21 00:00:00+00:00,2014.0,6eUKZXaKkcviH0Ku9w2n3V,281560,16,84,soft pop
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,2023-09-22 00:00:00+00:00,2023.0,7GlBOeep6PqTfFi59PTUUN,258034,14,84,
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster),1976-12-08 00:00:00+00:00,1976.0,0ECwFtbIWEVNwjlrfc6xoL,391376,9,84,classic rock; soft rock; yacht rock
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,4oQhDQDKMeI6IMlwpXt3j8,Agent Provocateur,N/A,N/A,6IRouO5mvvfcyxtPDKMYFN,304786,10,84,aor; classic rock
1IfGOnXoMBkiKC9xljlSfa,Jealous Type,Doja Cat,5faw0b6BBJiTHGNl9aaoc5,Jealous Type,2025-08-21 00:00:00+00:00,2025.0,5cj0lLjcoR7YOSnhnX0Po5,163647,1,84,
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01 00:00:00+00:00,2010.0,6LqNN22kT3074XbTVUrhzX,199693,18,84,
